root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 50
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 51
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 44
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 39
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 40
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 45
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 46
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 47
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 52
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 48
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 41
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 49
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 42
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 53
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 54
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 50
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 43
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 51
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 55
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 52
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 53
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 44
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 56
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 57
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 54
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 58
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 45
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 46
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 59
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 55
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 47
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 56
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 57
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 60
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 58
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 61
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 59
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 48
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 49
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 62
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 50
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 63
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 51
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 64
